epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.826,0.6837,1.5668,1.30802,0.82879,0.79539,0.84462,0.71625,0.6062,0.66365,1.22127,0.0033179,0.0033179,0.0033179
2,660.587,0.61909,0.75921,1.18417,0.76209,0.72731,0.87217,0.74447,0.54709,1.71768,1.16386,0.00658539,0.00658539,0.00658539
3,954.666,0.65168,0.75646,1.20437,0.79876,0.53023,0.60225,0.46265,0.89422,1.31923,1.98892,0.00978687,0.00978687,0.00978687
4,1232.49,0.68937,0.80105,1.2296,0.73736,0.61502,0.67385,0.55518,0.62432,1.41325,1.25189,0.009703,0.009703,0.009703
5,1513.74,0.62827,0.72266,1.1746,0.59944,0.6515,0.6852,0.51317,0.89259,0.98144,1.61462,0.009604,0.009604,0.009604
6,1798.68,0.59382,0.66139,1.14521,0.86113,0.83476,0.91205,0.78881,0.5389,0.46404,1.12335,0.009505,0.009505,0.009505
7,2068.64,0.57153,0.628,1.12771,0.88048,0.81797,0.90783,0.77546,0.53659,0.47694,1.15111,0.009406,0.009406,0.009406
8,2337.51,0.52639,0.56207,1.09223,0.89062,0.86294,0.93429,0.83858,0.42054,0.41399,1.00089,0.009307,0.009307,0.009307
9,2604.21,0.53159,0.55422,1.08924,0.90791,0.90225,0.94867,0.83224,0.46829,0.36117,1.07235,0.009208,0.009208,0.009208
10,2879.18,0.50403,0.52058,1.07294,0.90318,0.88915,0.93896,0.84985,0.40243,0.40495,0.98715,0.009109,0.009109,0.009109
11,3143.74,0.4879,0.50477,1.06063,0.88074,0.9266,0.95757,0.89232,0.34288,0.34247,0.93533,0.00901,0.00901,0.00901
12,3427.79,0.48964,0.50635,1.06151,0.91324,0.82757,0.92905,0.81535,0.46656,0.57639,1.05032,0.008911,0.008911,0.008911
13,3693.75,0.48095,0.48775,1.05848,0.91268,0.91968,0.95865,0.88988,0.34039,0.29935,0.92856,0.008812,0.008812,0.008812
14,3975.7,0.46176,0.47106,1.04172,0.91648,0.9321,0.95911,0.89153,0.37083,0.29926,0.94912,0.008713,0.008713,0.008713
15,4240.22,0.46249,0.44148,1.03957,0.9364,0.92267,0.95991,0.88553,0.37442,0.28676,0.96086,0.008614,0.008614,0.008614
16,4512.31,0.45266,0.44556,1.03822,0.90815,0.92026,0.96218,0.89824,0.33492,0.29125,0.91866,0.008515,0.008515,0.008515
17,4785.95,0.4463,0.45394,1.03295,0.93323,0.92996,0.96435,0.91462,0.30892,0.28079,0.89872,0.008416,0.008416,0.008416
18,5047.71,0.43741,0.43162,1.02744,0.91805,0.93496,0.96301,0.89066,0.33979,0.28954,0.92844,0.008317,0.008317,0.008317
19,5328.7,0.42686,0.41477,1.00264,0.94603,0.92991,0.96626,0.8991,0.33382,0.27239,0.92783,0.008218,0.008218,0.008218
20,5590.27,0.42958,0.43662,1.02001,0.95397,0.91022,0.96647,0.90225,0.34776,0.26412,0.92573,0.008119,0.008119,0.008119
21,5871.28,0.41947,0.41038,1.01105,0.93086,0.93845,0.96538,0.90616,0.31525,0.26427,0.91091,0.00802,0.00802,0.00802
