epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1484.59,1.0296,0.86582,0.27358,0.59927,1.01512,0.99842,0.99876,0.99433,0.76908,0.99872,0.99906,0.99455,0.99393,0.89275,0.03678,0.00476,0.33722,0.9712,0.00333289,0.00333289,0.00333289
2,3352.81,0.92476,0.15499,0.04262,0.43779,1.00409,0.99836,0.99893,0.9942,0.7913,0.99862,0.99919,0.99443,0.99377,0.86018,0.02282,0.00214,0.29512,0.97511,0.00653423,0.00653423,0.00653423
3,4736.62,0.91334,0.13868,0.0361,0.42562,1.01149,0.99849,0.99865,0.99452,0.79517,0.99875,0.99893,0.99467,0.99409,0.85313,0.05136,0.00269,0.29743,0.97844,0.00960357,0.00960357,0.00960357
4,6135.32,0.89255,0.1182,0.03117,0.40904,1.00495,0.99683,0.99811,0.99476,0.77034,0.9971,0.99837,0.9948,0.99317,0.91917,0.16054,0.00509,0.51184,1.02104,0.009406,0.009406,0.009406
5,7568.76,0.86691,0.09869,0.02637,0.38467,0.99453,0.9977,0.99571,0.99474,0.75158,0.99797,0.99598,0.99481,0.98507,0.97999,0.2199,0.00653,0.77989,1.05087,0.009208,0.009208,0.009208
6,9003.65,0.85408,0.09264,0.02444,0.37301,0.98959,0.99747,0.99666,0.99474,0.75031,0.99775,0.99694,0.9948,0.98912,0.98426,0.20976,0.00573,0.70452,1.0471,0.00901,0.00901,0.00901
7,10442.8,0.84528,0.08782,0.0232,0.36585,0.98676,0.99704,0.9981,0.99472,0.7641,0.99732,0.99838,0.99476,0.99378,0.9451,0.1613,0.00441,0.51834,1.02394,0.008812,0.008812,0.008812
8,11858.6,0.84068,0.08455,0.02209,0.3605,0.98642,0.99892,0.99751,0.99475,0.781,0.99918,0.99779,0.99477,0.99447,0.90195,0.1116,0.00318,0.38353,1.00192,0.008614,0.008614,0.008614
9,13262.3,0.83715,0.0824,0.02131,0.35694,0.98567,0.99888,0.99834,0.99474,0.79469,0.99908,0.99866,0.99477,0.99447,0.86725,0.07249,0.00228,0.3137,0.98429,0.008416,0.008416,0.008416
10,14649.5,0.83249,0.07994,0.02088,0.35389,0.98677,0.99891,0.99858,0.99471,0.80314,0.99916,0.99882,0.99476,0.9944,0.84616,0.04895,0.00172,0.28251,0.97363,0.008218,0.008218,0.008218
11,18890.5,0.83111,0.07956,0.0205,0.35171,0.98702,0.99897,0.99868,0.99467,0.80789,0.99922,0.99893,0.99472,0.99432,0.8342,0.03455,0.00139,0.26892,0.96775,0.00802,0.00802,0.00802
12,20321.2,0.82674,0.07784,0.02034,0.34853,0.98393,0.99894,0.99881,0.99464,0.81081,0.99918,0.99909,0.99471,0.99423,0.82751,0.02613,0.00117,0.26179,0.96406,0.007822,0.007822,0.007822
13,21728.8,0.82509,0.07643,0.01971,0.34666,0.9843,0.99891,0.99884,0.9946,0.81258,0.99914,0.9991,0.99468,0.99419,0.82358,0.02195,0.00102,0.2578,0.9622,0.007624,0.007624,0.007624
14,23152.5,0.82314,0.07572,0.01976,0.34496,0.98568,0.9989,0.99895,0.99459,0.81392,0.99914,0.99919,0.99467,0.99416,0.82136,0.01938,0.00092,0.25521,0.96136,0.007426,0.007426,0.007426
15,24586,0.82078,0.0751,0.01954,0.34324,0.98312,0.99894,0.99897,0.99459,0.81425,0.99916,0.99919,0.99466,0.99413,0.81989,0.01796,0.00085,0.25368,0.96056,0.007228,0.007228,0.007228
16,26010.3,0.81826,0.07343,0.01919,0.34133,0.98353,0.99893,0.99894,0.99457,0.8148,0.99916,0.99918,0.99465,0.99413,0.81903,0.01717,0.00078,0.25238,0.96074,0.00703,0.00703,0.00703
17,27430.7,0.81751,0.07332,0.01894,0.34021,0.98306,0.99893,0.99899,0.99454,0.81529,0.99914,0.99921,0.99465,0.99412,0.81807,0.01675,0.00074,0.25118,0.96063,0.006832,0.006832,0.006832
18,28846.3,0.8149,0.07181,0.01872,0.33849,0.98312,0.99895,0.999,0.99455,0.81579,0.99917,0.99922,0.99464,0.9941,0.81723,0.01649,0.00069,0.25037,0.96087,0.006634,0.006634,0.006634
19,30260.3,0.81504,0.0709,0.01845,0.33723,0.9817,0.99892,0.999,0.99454,0.81625,0.99915,0.99922,0.99462,0.99411,0.81596,0.01628,0.00067,0.24947,0.96048,0.006436,0.006436,0.006436
20,31631.4,0.81223,0.07065,0.01816,0.33615,0.98087,0.99891,0.99906,0.99455,0.81662,0.99915,0.99921,0.99463,0.9941,0.81515,0.01601,0.00063,0.24853,0.96016,0.006238,0.006238,0.006238
21,32994.5,0.81072,0.06904,0.01825,0.33454,0.98148,0.99893,0.99903,0.99453,0.81707,0.99915,0.99921,0.99461,0.99409,0.8144,0.01572,0.00061,0.24796,0.95995,0.00604,0.00604,0.00604
22,34352.9,0.80819,0.06903,0.01771,0.33277,0.97888,0.99895,0.999,0.99452,0.81719,0.99917,0.99923,0.9946,0.99409,0.81391,0.01544,0.00061,0.24735,0.95927,0.005842,0.005842,0.005842
23,35708,0.80738,0.06807,0.01786,0.33206,0.97825,0.99894,0.99903,0.99451,0.81753,0.99915,0.99924,0.9946,0.9941,0.81319,0.01526,0.0006,0.24665,0.95853,0.005644,0.005644,0.005644
24,37078.2,0.80535,0.06723,0.0176,0.33065,0.98092,0.99891,0.99913,0.99453,0.81777,0.9992,0.99924,0.99461,0.99411,0.81259,0.01507,0.00059,0.24632,0.95907,0.005446,0.005446,0.005446
25,38442.9,0.8026,0.06565,0.0173,0.32843,0.97816,0.99893,0.99914,0.99453,0.8182,0.99912,0.99936,0.99462,0.99412,0.81218,0.01486,0.00058,0.24584,0.95876,0.005248,0.005248,0.005248
26,39803.9,0.80203,0.06531,0.0171,0.32702,0.9793,0.99893,0.99917,0.99454,0.81832,0.99914,0.99938,0.99462,0.99412,0.81153,0.01475,0.00057,0.24542,0.95907,0.00505,0.00505,0.00505
27,41167.9,0.79985,0.06478,0.01666,0.32609,0.979,0.99891,0.99919,0.99453,0.81866,0.99912,0.99941,0.99461,0.99412,0.81062,0.01465,0.00055,0.24497,0.95955,0.004852,0.004852,0.004852
28,42522.2,0.79803,0.064,0.01654,0.32444,0.981,0.99899,0.99912,0.99454,0.81873,0.99922,0.99935,0.99462,0.99413,0.80979,0.01449,0.00053,0.24455,0.96034,0.004654,0.004654,0.004654
29,43877.7,0.79481,0.06207,0.01639,0.32225,0.97731,0.99903,0.9991,0.99453,0.81903,0.99924,0.99931,0.99461,0.99411,0.80885,0.01439,0.00053,0.24401,0.95965,0.004456,0.004456,0.004456
30,45224.4,0.79367,0.06209,0.01601,0.32088,0.97588,0.99901,0.99913,0.99456,0.81928,0.99923,0.99935,0.99463,0.99415,0.80789,0.0143,0.00051,0.24364,0.9589,0.004258,0.004258,0.004258
31,46586.7,0.79232,0.06071,0.01601,0.32004,0.97749,0.99896,0.99922,0.99454,0.81983,0.99917,0.99942,0.9946,0.99412,0.80695,0.01422,0.00051,0.2432,0.95908,0.00406,0.00406,0.00406
32,47938.3,0.78903,0.06009,0.01582,0.31719,0.97614,0.99898,0.99919,0.99453,0.82001,0.99919,0.9994,0.99459,0.99412,0.80609,0.01413,0.0005,0.24252,0.95899,0.003862,0.003862,0.003862
33,49283.1,0.78688,0.0584,0.01554,0.31564,0.97522,0.99906,0.99913,0.99454,0.82051,0.99926,0.99933,0.9946,0.99413,0.80513,0.01403,0.00049,0.24182,0.95882,0.003664,0.003664,0.003664
34,50633.3,0.78632,0.0573,0.01504,0.31484,0.97329,0.99904,0.99915,0.99453,0.8205,0.99924,0.99934,0.9946,0.99413,0.80429,0.01392,0.00048,0.24152,0.95829,0.003466,0.003466,0.003466
35,51981.1,0.78386,0.05703,0.01513,0.31175,0.9731,0.99904,0.99922,0.99456,0.82084,0.99923,0.99941,0.99461,0.99414,0.80356,0.01382,0.00046,0.24072,0.95806,0.003268,0.003268,0.003268
36,53341.1,0.78171,0.05684,0.01496,0.31066,0.97278,0.99899,0.99922,0.99454,0.8213,0.99919,0.99942,0.9946,0.99415,0.80272,0.01375,0.00046,0.24022,0.95787,0.00307,0.00307,0.00307
37,54707.7,0.7783,0.05567,0.01451,0.30807,0.97093,0.99902,0.9992,0.99454,0.82164,0.99922,0.9994,0.9946,0.99416,0.80202,0.01366,0.00044,0.23959,0.95754,0.002872,0.002872,0.002872
38,56062.6,0.77596,0.05435,0.01427,0.30566,0.96768,0.99905,0.99923,0.99454,0.8219,0.99923,0.99942,0.9946,0.99415,0.80118,0.01356,0.00044,0.23905,0.95653,0.002674,0.002674,0.002674
39,57413.1,0.77405,0.0524,0.01415,0.3041,0.9686,0.99907,0.99922,0.99455,0.82189,0.99926,0.99941,0.99461,0.99417,0.80028,0.01347,0.00043,0.23834,0.9562,0.002476,0.002476,0.002476
40,58789.1,0.76922,0.0526,0.01385,0.30128,0.97024,0.99907,0.99923,0.99455,0.82238,0.99926,0.99942,0.99461,0.99417,0.79939,0.01339,0.00042,0.23793,0.95666,0.002278,0.002278,0.002278
